group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
event_deserialization,,1024,1024,bytes,259996.0,ns,527
event_deserialization,,1024,1024,bytes,677790.0,ns,1054
event_deserialization,,1024,1024,bytes,907289.0,ns,1581
event_deserialization,,1024,1024,bytes,1057883.0,ns,2108
event_deserialization,,1024,1024,bytes,1869976.0,ns,2635
event_deserialization,,1024,1024,bytes,1862568.0,ns,3162
event_deserialization,,1024,1024,bytes,1942963.0,ns,3689
event_deserialization,,1024,1024,bytes,2338070.0,ns,4216
event_deserialization,,1024,1024,bytes,2265463.0,ns,4743
event_deserialization,,1024,1024,bytes,2687057.0,ns,5270
event_deserialization,,1024,1024,bytes,2829455.0,ns,5797
event_deserialization,,1024,1024,bytes,3040654.0,ns,6324
event_deserialization,,1024,1024,bytes,3597538.0,ns,6851
event_deserialization,,1024,1024,bytes,3484738.0,ns,7378
event_deserialization,,1024,1024,bytes,3839733.0,ns,7905
event_deserialization,,1024,1024,bytes,4014035.0,ns,8432
event_deserialization,,1024,1024,bytes,4310030.0,ns,8959
event_deserialization,,1024,1024,bytes,4585129.0,ns,9486
event_deserialization,,1024,1024,bytes,5162823.0,ns,10013
event_deserialization,,1024,1024,bytes,5557908.0,ns,10540
event_deserialization,,1024,1024,bytes,5668607.0,ns,11067
event_deserialization,,1024,1024,bytes,6164707.0,ns,11594
event_deserialization,,1024,1024,bytes,6708399.0,ns,12121
event_deserialization,,1024,1024,bytes,6489206.0,ns,12648
event_deserialization,,1024,1024,bytes,6297502.0,ns,13175
event_deserialization,,1024,1024,bytes,7235089.0,ns,13702
event_deserialization,,1024,1024,bytes,7692964.0,ns,14229
event_deserialization,,1024,1024,bytes,7903579.0,ns,14756
event_deserialization,,1024,1024,bytes,8224866.0,ns,15283
event_deserialization,,1024,1024,bytes,8142969.0,ns,15810
event_deserialization,,1024,1024,bytes,8272030.0,ns,16337
event_deserialization,,1024,1024,bytes,9132639.0,ns,16864
event_deserialization,,1024,1024,bytes,9082856.0,ns,17391
event_deserialization,,1024,1024,bytes,9038559.0,ns,17918
event_deserialization,,1024,1024,bytes,10750621.0,ns,18445
event_deserialization,,1024,1024,bytes,10361444.0,ns,18972
event_deserialization,,1024,1024,bytes,10021650.0,ns,19499
event_deserialization,,1024,1024,bytes,10780932.0,ns,20026
event_deserialization,,1024,1024,bytes,11451428.0,ns,20553
event_deserialization,,1024,1024,bytes,10914135.0,ns,21080
event_deserialization,,1024,1024,bytes,11152129.0,ns,21607
event_deserialization,,1024,1024,bytes,11522205.0,ns,22134
event_deserialization,,1024,1024,bytes,12164715.0,ns,22661
event_deserialization,,1024,1024,bytes,13947676.0,ns,23188
event_deserialization,,1024,1024,bytes,13151184.0,ns,23715
event_deserialization,,1024,1024,bytes,12206515.0,ns,24242
event_deserialization,,1024,1024,bytes,13807085.0,ns,24769
event_deserialization,,1024,1024,bytes,12578895.0,ns,25296
event_deserialization,,1024,1024,bytes,13146895.0,ns,25823
event_deserialization,,1024,1024,bytes,14118573.0,ns,26350
event_deserialization,,1024,1024,bytes,13653982.0,ns,26877
event_deserialization,,1024,1024,bytes,13799380.0,ns,27404
event_deserialization,,1024,1024,bytes,14872371.0,ns,27931
event_deserialization,,1024,1024,bytes,14664448.0,ns,28458
event_deserialization,,1024,1024,bytes,14511168.0,ns,28985
event_deserialization,,1024,1024,bytes,17910008.0,ns,29512
event_deserialization,,1024,1024,bytes,17978605.0,ns,30039
event_deserialization,,1024,1024,bytes,17868004.0,ns,30566
event_deserialization,,1024,1024,bytes,18808128.0,ns,31093
event_deserialization,,1024,1024,bytes,18793708.0,ns,31620
event_deserialization,,1024,1024,bytes,16816631.0,ns,32147
event_deserialization,,1024,1024,bytes,17179038.0,ns,32674
event_deserialization,,1024,1024,bytes,17790443.0,ns,33201
event_deserialization,,1024,1024,bytes,17229761.0,ns,33728
event_deserialization,,1024,1024,bytes,19290917.0,ns,34255
event_deserialization,,1024,1024,bytes,18291342.0,ns,34782
event_deserialization,,1024,1024,bytes,19950799.0,ns,35309
event_deserialization,,1024,1024,bytes,19759386.0,ns,35836
event_deserialization,,1024,1024,bytes,18910497.0,ns,36363
event_deserialization,,1024,1024,bytes,19597480.0,ns,36890
event_deserialization,,1024,1024,bytes,21221460.0,ns,37417
event_deserialization,,1024,1024,bytes,21671048.0,ns,37944
event_deserialization,,1024,1024,bytes,21010558.0,ns,38471
event_deserialization,,1024,1024,bytes,20456580.0,ns,38998
event_deserialization,,1024,1024,bytes,22363438.0,ns,39525
event_deserialization,,1024,1024,bytes,22123531.0,ns,40052
event_deserialization,,1024,1024,bytes,21635965.0,ns,40579
event_deserialization,,1024,1024,bytes,22112646.0,ns,41106
event_deserialization,,1024,1024,bytes,22152350.0,ns,41633
event_deserialization,,1024,1024,bytes,23083014.0,ns,42160
event_deserialization,,1024,1024,bytes,22433143.0,ns,42687
event_deserialization,,1024,1024,bytes,22274348.0,ns,43214
event_deserialization,,1024,1024,bytes,25249193.0,ns,43741
event_deserialization,,1024,1024,bytes,22714230.0,ns,44268
event_deserialization,,1024,1024,bytes,22632045.0,ns,44795
event_deserialization,,1024,1024,bytes,24530717.0,ns,45322
event_deserialization,,1024,1024,bytes,24430713.0,ns,45849
event_deserialization,,1024,1024,bytes,24873419.0,ns,46376
event_deserialization,,1024,1024,bytes,25909391.0,ns,46903
event_deserialization,,1024,1024,bytes,27896988.0,ns,47430
event_deserialization,,1024,1024,bytes,28138455.0,ns,47957
event_deserialization,,1024,1024,bytes,27707179.0,ns,48484
event_deserialization,,1024,1024,bytes,26349594.0,ns,49011
event_deserialization,,1024,1024,bytes,25284582.0,ns,49538
event_deserialization,,1024,1024,bytes,26038189.0,ns,50065
event_deserialization,,1024,1024,bytes,24563820.0,ns,50592
event_deserialization,,1024,1024,bytes,26083677.0,ns,51119
event_deserialization,,1024,1024,bytes,25456693.0,ns,51646
event_deserialization,,1024,1024,bytes,25220383.0,ns,52173
event_deserialization,,1024,1024,bytes,29229428.0,ns,52700
