group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
event_deserialization,,4194304,4194304,bytes,14903094.0,ns,10
event_deserialization,,4194304,4194304,bytes,15146497.0,ns,10
event_deserialization,,4194304,4194304,bytes,14824893.0,ns,10
event_deserialization,,4194304,4194304,bytes,14990495.0,ns,10
event_deserialization,,4194304,4194304,bytes,15089592.0,ns,10
event_deserialization,,4194304,4194304,bytes,14859594.0,ns,10
event_deserialization,,4194304,4194304,bytes,14793394.0,ns,10
event_deserialization,,4194304,4194304,bytes,14775094.0,ns,10
event_deserialization,,4194304,4194304,bytes,14786794.0,ns,10
event_deserialization,,4194304,4194304,bytes,14817295.0,ns,10
event_deserialization,,4194304,4194304,bytes,14800994.0,ns,10
event_deserialization,,4194304,4194304,bytes,14850394.0,ns,10
event_deserialization,,4194304,4194304,bytes,14776094.0,ns,10
event_deserialization,,4194304,4194304,bytes,14809393.0,ns,10
event_deserialization,,4194304,4194304,bytes,14908894.0,ns,10
event_deserialization,,4194304,4194304,bytes,14850194.0,ns,10
event_deserialization,,4194304,4194304,bytes,15263794.0,ns,10
event_deserialization,,4194304,4194304,bytes,15246194.0,ns,10
event_deserialization,,4194304,4194304,bytes,15111795.0,ns,10
event_deserialization,,4194304,4194304,bytes,14845094.0,ns,10
event_deserialization,,4194304,4194304,bytes,14974297.0,ns,10
event_deserialization,,4194304,4194304,bytes,14896300.0,ns,10
event_deserialization,,4194304,4194304,bytes,14914094.0,ns,10
event_deserialization,,4194304,4194304,bytes,14913100.0,ns,10
event_deserialization,,4194304,4194304,bytes,14845897.0,ns,10
event_deserialization,,4194304,4194304,bytes,14848997.0,ns,10
event_deserialization,,4194304,4194304,bytes,14761698.0,ns,10
event_deserialization,,4194304,4194304,bytes,14793696.0,ns,10
event_deserialization,,4194304,4194304,bytes,14868000.0,ns,10
event_deserialization,,4194304,4194304,bytes,14838894.0,ns,10
event_deserialization,,4194304,4194304,bytes,14875100.0,ns,10
event_deserialization,,4194304,4194304,bytes,14953193.0,ns,10
event_deserialization,,4194304,4194304,bytes,14902000.0,ns,10
event_deserialization,,4194304,4194304,bytes,14793397.0,ns,10
event_deserialization,,4194304,4194304,bytes,14797098.0,ns,10
event_deserialization,,4194304,4194304,bytes,15824400.0,ns,10
event_deserialization,,4194304,4194304,bytes,15334700.0,ns,10
event_deserialization,,4194304,4194304,bytes,14899299.0,ns,10
event_deserialization,,4194304,4194304,bytes,14684796.0,ns,10
event_deserialization,,4194304,4194304,bytes,14863499.0,ns,10
event_deserialization,,4194304,4194304,bytes,14767595.0,ns,10
event_deserialization,,4194304,4194304,bytes,14892600.0,ns,10
event_deserialization,,4194304,4194304,bytes,15064593.0,ns,10
event_deserialization,,4194304,4194304,bytes,14847700.0,ns,10
event_deserialization,,4194304,4194304,bytes,14742795.0,ns,10
event_deserialization,,4194304,4194304,bytes,14718900.0,ns,10
event_deserialization,,4194304,4194304,bytes,14629195.0,ns,10
event_deserialization,,4194304,4194304,bytes,14734800.0,ns,10
event_deserialization,,4194304,4194304,bytes,14836694.0,ns,10
event_deserialization,,4194304,4194304,bytes,14688900.0,ns,10
event_deserialization,,4194304,4194304,bytes,14641696.0,ns,10
event_deserialization,,4194304,4194304,bytes,14651600.0,ns,10
event_deserialization,,4194304,4194304,bytes,14742394.0,ns,10
event_deserialization,,4194304,4194304,bytes,14769300.0,ns,10
event_deserialization,,4194304,4194304,bytes,14874094.0,ns,10
event_deserialization,,4194304,4194304,bytes,14935200.0,ns,10
event_deserialization,,4194304,4194304,bytes,15084798.0,ns,10
event_deserialization,,4194304,4194304,bytes,14952493.0,ns,10
event_deserialization,,4194304,4194304,bytes,15096096.0,ns,10
event_deserialization,,4194304,4194304,bytes,15000196.0,ns,10
event_deserialization,,4194304,4194304,bytes,15033495.0,ns,10
event_deserialization,,4194304,4194304,bytes,14937398.0,ns,10
event_deserialization,,4194304,4194304,bytes,14966996.0,ns,10
event_deserialization,,4194304,4194304,bytes,15011996.0,ns,10
event_deserialization,,4194304,4194304,bytes,15158297.0,ns,10
event_deserialization,,4194304,4194304,bytes,14938096.0,ns,10
event_deserialization,,4194304,4194304,bytes,15001795.0,ns,10
event_deserialization,,4194304,4194304,bytes,15267096.0,ns,10
event_deserialization,,4194304,4194304,bytes,14986596.0,ns,10
event_deserialization,,4194304,4194304,bytes,14853197.0,ns,10
event_deserialization,,4194304,4194304,bytes,14998296.0,ns,10
event_deserialization,,4194304,4194304,bytes,15035795.0,ns,10
event_deserialization,,4194304,4194304,bytes,14812895.0,ns,10
event_deserialization,,4194304,4194304,bytes,14955597.0,ns,10
event_deserialization,,4194304,4194304,bytes,14743695.0,ns,10
event_deserialization,,4194304,4194304,bytes,14720697.0,ns,10
event_deserialization,,4194304,4194304,bytes,15075296.0,ns,10
event_deserialization,,4194304,4194304,bytes,15166996.0,ns,10
event_deserialization,,4194304,4194304,bytes,14882995.0,ns,10
event_deserialization,,4194304,4194304,bytes,15178696.0,ns,10
event_deserialization,,4194304,4194304,bytes,14769696.0,ns,10
event_deserialization,,4194304,4194304,bytes,15040996.0,ns,10
event_deserialization,,4194304,4194304,bytes,14851197.0,ns,10
event_deserialization,,4194304,4194304,bytes,14785895.0,ns,10
event_deserialization,,4194304,4194304,bytes,14766896.0,ns,10
event_deserialization,,4194304,4194304,bytes,14674197.0,ns,10
event_deserialization,,4194304,4194304,bytes,14681095.0,ns,10
event_deserialization,,4194304,4194304,bytes,14690295.0,ns,10
event_deserialization,,4194304,4194304,bytes,14644595.0,ns,10
event_deserialization,,4194304,4194304,bytes,14770295.0,ns,10
event_deserialization,,4194304,4194304,bytes,14707295.0,ns,10
event_deserialization,,4194304,4194304,bytes,14692498.0,ns,10
event_deserialization,,4194304,4194304,bytes,14655995.0,ns,10
event_deserialization,,4194304,4194304,bytes,14603695.0,ns,10
event_deserialization,,4194304,4194304,bytes,14649195.0,ns,10
event_deserialization,,4194304,4194304,bytes,14632895.0,ns,10
event_deserialization,,4194304,4194304,bytes,14627295.0,ns,10
event_deserialization,,4194304,4194304,bytes,14625795.0,ns,10
event_deserialization,,4194304,4194304,bytes,14633496.0,ns,10
event_deserialization,,4194304,4194304,bytes,14754196.0,ns,10
