group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
event_serialization,,1048576,1048576,bytes,1146408.0,ns,1
event_serialization,,1048576,1048576,bytes,2283817.0,ns,2
event_serialization,,1048576,1048576,bytes,3414426.0,ns,3
event_serialization,,1048576,1048576,bytes,4516132.0,ns,4
event_serialization,,1048576,1048576,bytes,5607541.0,ns,5
event_serialization,,1048576,1048576,bytes,6779149.0,ns,6
event_serialization,,1048576,1048576,bytes,7842157.0,ns,7
event_serialization,,1048576,1048576,bytes,8902864.0,ns,8
event_serialization,,1048576,1048576,bytes,10043474.0,ns,9
event_serialization,,1048576,1048576,bytes,11090880.0,ns,10
event_serialization,,1048576,1048576,bytes,12250788.0,ns,11
event_serialization,,1048576,1048576,bytes,13395297.0,ns,12
event_serialization,,1048576,1048576,bytes,14424304.0,ns,13
event_serialization,,1048576,1048576,bytes,15569013.0,ns,14
event_serialization,,1048576,1048576,bytes,16711720.0,ns,15
event_serialization,,1048576,1048576,bytes,17779528.0,ns,16
event_serialization,,1048576,1048576,bytes,18890437.0,ns,17
event_serialization,,1048576,1048576,bytes,20011243.0,ns,18
event_serialization,,1048576,1048576,bytes,21118152.0,ns,19
event_serialization,,1048576,1048576,bytes,22197261.0,ns,20
event_serialization,,1048576,1048576,bytes,23328666.0,ns,21
event_serialization,,1048576,1048576,bytes,24459676.0,ns,22
event_serialization,,1048576,1048576,bytes,25526385.0,ns,23
event_serialization,,1048576,1048576,bytes,26624592.0,ns,24
event_serialization,,1048576,1048576,bytes,27832199.0,ns,25
event_serialization,,1048576,1048576,bytes,28869909.0,ns,26
event_serialization,,1048576,1048576,bytes,30155419.0,ns,27
event_serialization,,1048576,1048576,bytes,31109027.0,ns,28
event_serialization,,1048576,1048576,bytes,32226633.0,ns,29
event_serialization,,1048576,1048576,bytes,33338241.0,ns,30
event_serialization,,1048576,1048576,bytes,34422849.0,ns,31
event_serialization,,1048576,1048576,bytes,35529257.0,ns,32
event_serialization,,1048576,1048576,bytes,36627462.0,ns,33
event_serialization,,1048576,1048576,bytes,37796673.0,ns,34
event_serialization,,1048576,1048576,bytes,38815580.0,ns,35
event_serialization,,1048576,1048576,bytes,40006488.0,ns,36
event_serialization,,1048576,1048576,bytes,41048597.0,ns,37
event_serialization,,1048576,1048576,bytes,42220605.0,ns,38
event_serialization,,1048576,1048576,bytes,43281508.0,ns,39
event_serialization,,1048576,1048576,bytes,44402521.0,ns,40
event_serialization,,1048576,1048576,bytes,45528429.0,ns,41
event_serialization,,1048576,1048576,bytes,46665838.0,ns,42
event_serialization,,1048576,1048576,bytes,47724445.0,ns,43
